//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-30-2023
//--  Time: 17:47
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:7.7, 20
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	7.70	77 	0.000
1	7.71	77 	0.005
2	7.72	77 	0.010
3	7.74	77 	0.015
4	7.75	77 	0.020
5	7.76	78 	0.024
6	7.77	78 	0.029
7	7.78	78 	0.034
8	7.80	78 	0.039
9	7.81	78 	0.044
10	7.82	78 	0.049
11	7.83	78 	0.054
12	7.84	78 	0.059
13	7.86	79 	0.063
14	7.87	79 	0.068
15	7.88	79 	0.073
16	7.89	79 	0.078
17	7.90	79 	0.083
18	7.92	79 	0.088
19	7.93	79 	0.093
20	7.94	79 	0.098
21	7.95	80 	0.103
22	7.96	80 	0.107
23	7.98	80 	0.112
24	7.99	80 	0.117
25	8.00	80 	0.122
26	8.01	80 	0.127
27	8.02	80 	0.132
28	8.04	80 	0.137
29	8.05	80 	0.142
30	8.06	81 	0.146
31	8.07	81 	0.151
32	8.08	81 	0.156
33	8.10	81 	0.161
34	8.11	81 	0.166
35	8.12	81 	0.171
36	8.13	81 	0.176
37	8.14	81 	0.181
38	8.16	82 	0.186
39	8.17	82 	0.190
40	8.18	82 	0.195
41	8.19	82 	0.200
42	8.20	82 	0.205
43	8.22	82 	0.210
44	8.23	82 	0.215
45	8.24	82 	0.220
46	8.25	83 	0.225
47	8.26	83 	0.229
48	8.28	83 	0.234
49	8.29	83 	0.239
50	8.30	83 	0.244
51	8.31	83 	0.249
52	8.32	83 	0.254
53	8.34	83 	0.259
54	8.35	83 	0.264
55	8.36	84 	0.269
56	8.37	84 	0.273
57	8.38	84 	0.278
58	8.40	84 	0.283
59	8.41	84 	0.288
60	8.42	84 	0.293
61	8.43	84 	0.298
62	8.44	84 	0.303
63	8.46	85 	0.308
64	8.47	85 	0.313
65	8.48	85 	0.317
66	8.49	85 	0.322
67	8.50	85 	0.327
68	8.52	85 	0.332
69	8.53	85 	0.337
70	8.54	85 	0.342
71	8.55	86 	0.347
72	8.56	86 	0.352
73	8.58	86 	0.356
74	8.59	86 	0.361
75	8.60	86 	0.366
76	8.61	86 	0.371
77	8.62	86 	0.376
78	8.64	86 	0.381
79	8.65	86 	0.386
80	8.66	87 	0.391
81	8.67	87 	0.396
82	8.68	87 	0.400
83	8.70	87 	0.405
84	8.71	87 	0.410
85	8.72	87 	0.415
86	8.73	87 	0.420
87	8.75	87 	0.425
88	8.76	88 	0.430
89	8.77	88 	0.435
90	8.78	88 	0.439
91	8.79	88 	0.444
92	8.81	88 	0.449
93	8.82	88 	0.454
94	8.83	88 	0.459
95	8.84	88 	0.464
96	8.85	89 	0.469
97	8.87	89 	0.474
98	8.88	89 	0.479
99	8.89	89 	0.483
100	8.90	89 	0.488
101	8.91	89 	0.493
102	8.93	89 	0.498
103	8.94	89 	0.503
104	8.95	89 	0.508
105	8.96	90 	0.513
106	8.97	90 	0.518
107	8.99	90 	0.522
108	9.00	90 	0.527
109	9.01	90 	0.532
110	9.02	90 	0.537
111	9.03	90 	0.542
112	9.05	90 	0.547
113	9.06	91 	0.552
114	9.07	91 	0.557
115	9.08	91 	0.562
116	9.09	91 	0.566
117	9.11	91 	0.571
118	9.12	91 	0.576
119	9.13	91 	0.581
120	9.14	91 	0.586
121	9.15	92 	0.591
122	9.17	92 	0.596
123	9.18	92 	0.601
124	9.19	92 	0.605
125	9.20	92 	0.610
126	9.21	92 	0.615
127	9.23	92 	0.620
128	9.24	92 	0.625
129	9.25	92 	0.630
130	9.26	93 	0.635
131	9.27	93 	0.640
132	9.29	93 	0.645
133	9.30	93 	0.649
134	9.31	93 	0.654
135	9.32	93 	0.659
136	9.33	93 	0.664
137	9.35	93 	0.669
138	9.36	94 	0.674
139	9.37	94 	0.679
140	9.38	94 	0.684
141	9.39	94 	0.688
142	9.41	94 	0.693
143	9.42	94 	0.698
144	9.43	94 	0.703
145	9.44	94 	0.708
146	9.45	95 	0.713
147	9.47	95 	0.718
148	9.48	95 	0.723
149	9.49	95 	0.728
150	9.50	95 	0.732
151	9.51	95 	0.737
152	9.53	95 	0.742
153	9.54	95 	0.747
154	9.55	95 	0.752
155	9.56	96 	0.757
156	9.57	96 	0.762
157	9.59	96 	0.767
158	9.60	96 	0.771
159	9.61	96 	0.776
160	9.62	96 	0.781
161	9.63	96 	0.786
162	9.65	96 	0.791
163	9.66	97 	0.796
164	9.67	97 	0.801
165	9.68	97 	0.806
166	9.69	97 	0.811
167	9.71	97 	0.815
168	9.72	97 	0.820
169	9.73	97 	0.825
170	9.74	97 	0.830
171	9.75	98 	0.835
172	9.77	98 	0.840
173	9.78	98 	0.845
174	9.79	98 	0.850
175	9.80	98 	0.854
176	9.81	98 	0.859
177	9.83	98 	0.864
178	9.84	98 	0.869
179	9.85	99 	0.874
180	9.86	99 	0.879
181	9.87	99 	0.884
182	9.89	99 	0.889
183	9.90	99 	0.894
184	9.91	99 	0.898
185	9.92	99 	0.903
186	9.93	99 	0.908
187	9.95	99 	0.913
188	9.96	100 	0.918
189	9.97	100 	0.923
190	9.98	100 	0.928
191	9.99	100 	0.933
192	10.01	100 	0.938
193	10.02	100 	0.942
194	10.03	100 	0.947
195	10.04	100 	0.952
196	10.05	101 	0.957
197	10.07	101 	0.962
198	10.08	101 	0.967
199	10.09	101 	0.972
200	10.10	101 	0.977
201	10.11	101 	0.981
202	10.13	101 	0.986
203	10.14	101 	0.991
204	10.15	102 	0.996
205	10.16	102 	1.001
206	10.17	102 	1.006
207	10.19	102 	1.011
208	10.20	102 	1.016
209	10.21	102 	1.021
210	10.22	102 	1.025
211	10.23	102 	1.030
212	10.25	102 	1.035
213	10.26	103 	1.040
214	10.27	103 	1.045
215	10.28	103 	1.050
216	10.29	103 	1.055
217	10.31	103 	1.060
218	10.32	103 	1.064
219	10.33	103 	1.069
220	10.34	103 	1.074
221	10.35	104 	1.079
